,Station Name,Neighbourhood
72,King St W / Charlotte St,Waterfront Communities-The Island 
73,Lakeshore Blvd E / Parliament St,Waterfront Communities-The Island 
74,Davenport Rd / Lansdowne Ave.,Corso Italia-Davenport 
75,Lakeshore Blvd E /Leslie St,South Riverdale 
76,123 Queen St W,Bay Street Corridor 
77,King St W / Portland St,Bay Street Corridor 
78,King St W / Brant St,Bay Street Corridor 
79,Gailbraith Rd / King s College Cr. (U of T),University 
80,Roehampton Ave / Yonge St,Mount Pleasant West 
81,Queen St. E / Woodward Av,Greenwood-Coxwell 
82,Lakeshore Blvd E / Knox Ave,The Beaches 
83,Coxwell Ave/  Lakeshore Blvd E,The Beaches 
84,King St W / Charlotte St (West),Waterfront Communities-The Island 
85,Gailbraith Rd / King’s College Cr. (U of T),University 
86,Chester Station (Green P),Playter Estates-Danforth 
87,Wellington St W / Bathurst St,Bay Street Corridor 
88,York St / Harbour St,Waterfront Communities-The Island 
89,York St / Lake Shore Blvd W,Mimico 
90,Shaw St / Dupont St,Dovercourt-Wallace Emerson-Junction 
91,Belmont St / Davenport Rd - SMART,Annex 
92,Westmount Ave / St Clair Ave W - SMART,Junction Area 
93,Sheridan Ave / Dundas St W - SMART,Little Portugal 
94,1 Market St,Waterfront Communities-The Island 
95,Bloor St W / Gladstone Ave,Little Portugal 
96,Lynn Williams St / East Liberty St,Niagara 
97,Shaw St / Essex St,Dovercourt-Wallace Emerson-Junction 
98,University Ave / Gerrard St W (West Side),Bay Street Corridor 
99,Elm St/ University Ave (East),Bay Street Corridor 
100,Rosedale Station,Rosedale-Moore Park 
101,Torrens Ave / Broadview Ave,Broadview North 
102,Riverview Gardens,lee
103,O'Connor Dr / Curity Ave,O'Connor-Parkview 
104,Braemar Ave / Eglinton Ave W -SMART,Yonge-Eglinton 
105,Greenwood Subway Station,Danforth 
106,Holland Park Ave / Oakwood Ave,Oakwood Village 
107,Guildwood GO Station (North),Guildwood 
108,135 Queen’s Wharf - SMART,Waterfront Communities-The Island 
109,Mutual St / Shuter St,Church-Yonge Corridor 
110,25 York St â€“ Union Station South,Waterfront Communities-The Island 
111,Lake Shore Blvd E / Cherry St,South Riverdale 
112,Gailbraith Rd / KingGÃ‡Ã–s College Cr. (U of T),University 
113,Greenwood Subway Station - SMART,Danforth 
114,Sheridan Ave / Dundas St W,Little Portugal 
115,25 York St GÃ‡Ã´ Union Station South,Waterfront Communities-The Island 
116,Riverview Gardens - SMART,lee
117,25 York St GÇô Union Station South,Waterfront Communities-The Island 
118,Gailbraith Rd / KingGÇÖs College Cr. (U of T),University 
