,Station Id,Station Name,Neighbourhood,capacity
450,7505,Ontario St / Adelaide St E -SMART,Moss Park ,18
451,7506,Berkeley St / Adelaide St E - SMART,Moss Park ,11
452,7508,Berkeley St / Dundas St E - SMART,Moss Park ,18
453,7509,Ontario St / King St E,Moss Park ,19
454,7514,Humber Bay Shores Park / Marine Parade Dr,Mimico ,31
455,7515,Amos Waites Park,Mimico ,27
456,7516,Superior Ave / Lake Shore Blvd W,Mimico ,17
457,7517,Ripley Ave / Ormskirk Ave,High Park-Swansea ,23
458,7518,Lake Shore Blvd W / Colborne Lodge Dr,South Parkdale ,27
459,7519,406 Oakwood Ave,Oakwood Village ,19
460,7520,St Clarens Ave / Shirley Ave,Little Portugal ,15
461,7521,Emerson Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction ,25
462,7522,Wallace Ave / Pauline Ave,Dovercourt-Wallace Emerson-Junction ,17
463,7523,Lynn Williams St / East Liberty St - SMART,Niagara ,15
464,7524,Lisgar Park,Little Portugal ,23
465,7525,Fennings St / Queen St W,Trinity-Bellwoods ,14
466,7526,Bartlett Parkette,Dovercourt-Wallace Emerson-Junction ,23
467,7527,Joseph J Piccininni Community Centre,Corso Italia-Davenport ,19
468,7528,Spadina Rd / Austin Terrace,Casa Loma ,17
469,7529,Symington Ave / Davenport Rd,Weston-Pellam Park ,15
470,7530,Sherbourne St N / Elm Ave,Rosedale-Moore Park ,22
471,7531,541 Huron St - SMART,Annex ,19
472,7533,Housey St / Dan Leckie Way,Waterfront Communities-The Island ,27
473,7534,Walnut Ave / Queen St W,Niagara ,16
474,7535,Wolsley St / Palmerston Ave - SMART,Trinity-Bellwoods ,16
475,7536,Palmerston Ave / Dundas St W,Trinity-Bellwoods ,23
476,7537,Euclid Ave / Herrick St - SMART,Palmerston-Little Italy ,16
477,7538,Vaughan Rd /Wychwood Ave,Humewood-Cedarvale ,19
478,7539,Davisville Ave / Pailton Cres,Mount Pleasant West ,19
479,7540,Alvin Ave / St Clair Ave E,Rosedale-Moore Park ,19
480,7541,Bellwoods Ave / Treford Pl - SMART,Trinity-Bellwoods ,20
481,7542,Queen St W / John St,Kensington-Chinatown ,23
482,7543,Nassau St / Bellevue Ave,Kensington-Chinatown ,15
483,7544,Foster Pl / Elizabeth St,Bay Street Corridor ,19
484,7545,Baldwin St / Henry St,Kensington-Chinatown ,15
485,7546,Ross St / Cecil St - SMART,Kensington-Chinatown ,18
486,7547,Orde St / McCaul St,Kensington-Chinatown ,15
487,7548,St Joseph St / Bay St - SMART,Bay Street Corridor ,20
488,7549,439 Sherbourne St,Cabbagetown-South St.James Town ,23
489,7551,The Esplanade / Hahn Pl,Waterfront Communities-The Island ,19
490,7552,Lake Shore Blvd W / Thirty Ninth Street,Long Branch ,19
491,7553,Lake Shore Blvd W / Twenty Fourth St,Long Branch ,19
492,7554,Humber College,New Toronto ,27
493,7555,Royal York Rd / Mimico Ave,Mimico ,20
494,7556,Windsor St / Newcastle St,Mimico ,31
495,7557,The Queensway / High St,Stonegate-Queensway ,23
496,7558,Berry Rd / Bell Manor Dr,Stonegate-Queensway ,19
497,7559,Swansea Community Centre,High Park-Swansea ,15
498,7560,Glenwood Ave / Runnymede Rd,High Park North ,17
499,7561,Annette St / Jane St,Runnymede-Bloor West Village ,15
500,7562,Priscilla  Ave / Dundas St W,Runnymede-Bloor West Village ,23
501,7563,St Clair Ave W / Castleton Ave,Rockcliffe-Smythe ,19
502,7564,Durie St / Dundas St W,Runnymede-Bloor West Village ,23
503,7565,St Clair Ave W / Gunns Rd,Junction Area ,23
504,7566,Weston Rd / St Clair Ave W - SMART,Junction Area ,19
505,7567,Weston Lions Park,Weston ,27
506,7568,Jameson Ave / Queen St W,South Parkdale ,26
507,7569,Toronto Inukshuk Park,Niagara ,19
508,7570,Carlaw Ave / Dundas St E,South Riverdale ,17
509,7571,Highfield Rd / Gerrard St E,Greenwood-Coxwell ,19
510,7572,Cosburn Ave / Durant Ave,Danforth East York ,15
511,7575,Bayview Ave / Lawren Harris Square,Waterfront Communities-The Island ,15
512,7576,Front St E / Bayview Avenue,Waterfront Communities-The Island ,23
513,7577,Oak St / Sumach St,Regent Park ,27
514,7578,Oak St / Parliament St,Regent Park ,23
515,7579,Glebe Rd W / Yonge St,Yonge-Eglinton ,19
516,7580,Hillsdale Ave W / Yonge St,Yonge-Eglinton ,15
517,7581,High Park Ave / Dundas St W,Junction Area ,15
518,7582,Alameda Ave / Vaughan Rd - SMART,Oakwood Village ,16
519,7583,Eglinton Ave W / Scarlett Rd,Humber Heights-Westmount ,22
520,7584,The Pond Rd / Sentinel Rd,York University Heights ,27
521,7585,Sentinel Rd / Finch Hydro Corridor,York University Heights ,27
522,7586,Finch West Subway Station,York University Heights ,23
523,7587,Dufferin St / Finch Hydro Recreational Trail,Bathurst Manor ,19
524,7588,G Ross Lord Park,Bathurst Manor ,31
525,7589,Torresdale Ave / Antibes Dr,Westminster-Branson ,15
526,7590,Esther Shiner Stadium,Westminster-Branson ,23
527,7591,Elwood Blvd / Avenue Rd,Yonge-Eglinton ,23
528,7593,Roehampton St / Bayview Ave,Mount Pleasant East ,30
529,7594,Fleming Cres / Bayview Ave,Leaside-Bennington ,15
530,7595,Moore Park,Rosedale-Moore Park ,27
531,7596,Langford Ave / Danforth Ave - SMART,Danforth ,16
532,7597,Yonge St / Golfdale Rd,Lawrence Park North ,15
533,7598,Teddington Park Ave,Lawrence Park North ,15
534,7599,Richmond St W / York St,Bay Street Corridor ,17
535,7600,Russell St / Huron St - SMART,University ,20
536,7601,Brick Works,Leaside-Bennington ,25
537,7602,Woodbine Ave / O'Connor Dr,Old East York ,19
538,7603,O'Connor Dr / Curity Ave - SMART,O'Connor-Parkview ,24
539,7604,St Columba Pl / St Clair Ave E,O'Connor-Parkview ,18
540,7605,Lumsden Ave / Eastdale Ave,Taylor-Massey ,20
541,7606,Dawes Rd / Taylor Creek Trl,O'Connor-Parkview ,19
542,7607,Fairmount Park,Woodbine Corridor ,19
543,7608,Wilket Creek Park,Leaside-Bennington ,27
544,7609,Sunnybrook Park,Bridle Path-Sunnybrook-York Mills ,27
545,7610,Kingston Rd / Beech Ave,The Beaches ,15
546,7611,Victoria Park Ave / Danforth Ave,Taylor-Massey ,19
547,7612,Livingston Rd / Guildwood Pkwy,Guildwood ,19
548,7613,Livingston Rd (Highland Creek Trail),West Hill ,27
549,7614,Morningside Park (Highland Creek Trail),Morningside ,23
550,7615,Colonel Danforth Park,West Hill ,27
551,7616,Waterfront Trail (Rouge Hill),Rouge ,19
552,7617,Starspray Ave / Lawrence Ave E,Rouge ,23
553,7618,Vaughan Rd / Oakwood Ave,Oakwood Village ,19
554,7619,Braemar Ave / Eglinton Ave W,Yonge-Eglinton ,14
555,7620,Eglinton Ave E / Redpath Ave,Mount Pleasant West ,15
556,7621,Long Branch GO Station,Long Branch ,33
557,7622,Marie Curtis Park,Long Branch ,23
558,7623,Royal York Rd / Lake Shore Blvd W,Mimico ,19
559,7624,Guildwood GO Station (South),Guildwood ,11
560,7625,Yonge St / Lawrence Ave,Lawrence Park North ,23
561,7626,Rouge Hill GO Station,Rouge ,25
562,7627,Shaw St / Essex St - SMART,Dovercourt-Wallace Emerson-Junction ,15
563,7629,Lundy Ave / Etienne Brule Park,Lambton Baby Point ,15
564,7630,Twelfth St / Thirteenth St,New Toronto ,23
565,7631,Florence Gell Park,Lambton Baby Point ,15
566,7632,Chiltern Hill Rd / Eglinton Ave W,Humewood-Cedarvale ,17
567,7633,Noble St / Queen St W,Roncesvalles ,15
568,7634,University Ave / Gerrard St W (WEST) - SMART,Kensington-Chinatown ,18
569,7635,Runnymede Rd / Annette St,Runnymede-Bloor West Village ,15
570,7636,Bloor St W / Riverside Ave,High Park-Swansea ,23
571,7637,Judson St / Royal York,Mimico ,19
572,7639,135 Queens Wharf  - SMART,Waterfront Communities-The Island ,16
573,7640,Spadina Rd / St.Clair Ave West,Casa Loma ,15
574,7641,Annette St / Dundas W,Junction Area ,15
575,7642,Yonge St / St Clair Ave,Rosedale-Moore Park ,19
576,7643,Oriole Pkwy / Kilbarry Rd,Forest Hill South ,19
577,7644,East Lynn Ave / Danforth Ave,Woodbine Corridor ,15
578,7645,University of Toronto Scarborough,Highland Creek ,16
579,7646,University Ave / Richmond St W,Bay Street Corridor ,19
580,7647,Elm St/ University Ave (East Side),Bay Street Corridor ,17
