,Station Id,Station Name,Neighbourhood
282,7314,Queen St. E / Eastern Ave,The Beaches 
283,7315,Queen St E / Hammersmith Ave,The Beaches 
284,7316,Queen St. E / Spruce Hill Rd.,The Beaches 
285,7317,Hubbard Blvd / Balsam Av,The Beaches 
286,7318,Hubbard Blvd. / Glen Manor Dr.,The Beaches 
287,7319,Lake Shore Blvd E / Knox Ave,The Beaches 
288,7320,Front St W / University Ave (1),Bay Street Corridor 
289,7321,Front St W / University Ave (2),Bay Street Corridor 
290,7322,E Liberty St / Western Battery Rd,Niagara 
291,7323,457 King St. W. at Spadina,Waterfront Communities-The Island 
292,7324,King St W / Charlotte St (West Side),Waterfront Communities-The Island 
293,7326,Davenport Rd / Lansdowne Ave,Corso Italia-Davenport 
294,7327,Davenport Rd / Oakwood Rd - SMART,Dovercourt-Wallace Emerson-Junction 
295,7328,Roxborough St W / Yonge St,Annex 
296,7329,Crawford St / Queen St W,Trinity-Bellwoods 
297,7330,Lee Ave / Queen St E,The Beaches 
298,7331,Coxwell Ave / Plains Rd,Old East York 
299,7332,200 Bloor St. E.,Rosedale-Moore Park 
300,7333,King St E / Victoria St,Church-Yonge Corridor 
301,7334,Simcoe St / Wellington St North,Bay Street Corridor 
302,7335,Bay St / Bloor St W (West Side),Bay Street Corridor 
303,7336,Queen St E / Alton Av,South Riverdale 
304,7337,Gerrard Square Mall (1010 Gerrard St E),South Riverdale 
305,7338,Logan Ave / Bain Ave,North Riverdale 
306,7339,Carlaw Ave / Strathcona Ave,North Riverdale 
307,7340,Blake St / Boultbee Ave,Blake-Jones 
308,7341,Eastern Ave / Winnifred Ave,South Riverdale 
309,7342,Morse St / Eastern Ave,South Riverdale 
310,7343,Alton Ave / Dundas St E (Greenwood Park),South Riverdale 
311,7344,Cherry Beach,South Riverdale 
312,7345,Cherry Beach Sports Field (55 Unwin Ave),South Riverdale 
313,7346,Logan Av / Gerrard St E,North Riverdale 
314,7347,Regal Rd / Dufferin St,Corso Italia-Davenport 
315,7348,Pape Ave / Gamble Ave,Broadview North 
316,7349,Gamble Ave / Broadview Ave,Broadview North 
317,7350,Broadview Ave / Westwood Ave,Broadview North 
318,7351,Pretoria Av / Broadview Av,Playter Estates-Danforth 
319,7352,Cosburn Ave / Donlands Ave,Danforth East York 
320,7353,Fulton Ave / Pape Ave,Broadview North 
321,7354,Tommy Thompson Park (Leslie Street Spit),South Riverdale 
322,7355,Beltline Trail / Chaplin Cres.,Forest Hill North 
323,7356,King St E / Ontario St.,Moss Park 
324,7357,Lake Shore Blvd E / Leslie St,South Riverdale 
325,7359,Rosedale Park (20 Schofield Ave),Rosedale-Moore Park 
326,7360,Concord Av / Dewson St,Palmerston-Little Italy 
327,7361,Hocken Ave./Vaughan Rd.,Wychwood 
328,7362,St Clair Ave W / Bathurst St.,Wychwood 
329,7363,Wells Hill Ave / St Clair Ave W,Casa Loma 
330,7364,Queen St E / Nursewood Rd (Neville Park Loop),The Beaches 
331,7365,Kew Beach Ave / Kenilworth Ave,The Beaches 
332,7366,Fort York Blvd / Bathurst St SMART,Waterfront Communities-The Island 
333,7367,Alma Ave / Gladstone Ave SMART,Little Portugal 
334,7368,Lisgar St / Dundas St SMART,Little Portugal 
335,7369,Dupont St / Emerson Ave SMART,Dovercourt-Wallace Emerson-Junction 
336,7371,Eglinton Ave W / Henning Ave SMART,Yonge-Eglinton 
337,7372,Adelaide St W / Portland St,Waterfront Communities-The Island 
338,7373,George St / King St E,Moss Park 
339,7374,Frederick St / The Esplanade,Waterfront Communities-The Island 
340,7375,Front St E / Scott St,Church-Yonge Corridor 
341,7376,Frobisher Ave / Lascelles Blvd,Yonge-Eglinton 
342,7377,Balliol St / Yonge St  SMART,Mount Pleasant West 
343,7378,Yonge St / Davisville Ave,Yonge-Eglinton 
344,7379,Lawton Blvd / Yonge St,Yonge-St.Clair 
345,7380,Erskine Ave / Yonge St SMART,Mount Pleasant West 
346,7381,Yonge St / Orchard View Blvd,Yonge-Eglinton 
347,7382,Simcoe St / Adelaide St W,Bay Street Corridor 
348,7383,12 Harbour St,Waterfront Communities-The Island 
349,7384,Cumberland Ave / Bay St SMART,Annex 
350,7385,20 Charles St E,Church-Yonge Corridor 
351,7386,D'Arcy St. /McCaul St. SMART,Kensington-Chinatown 
352,7387,Mortimer Ave / Carlaw Ave SMART,Broadview North 
353,7388,Broadview Ave / Danforth Ave,Playter Estates-Danforth 
354,7389,College Park- Gerrard Entrance,Bay Street Corridor 
355,7391,Yonge St / Dundas Sq,Church-Yonge Corridor 
356,7392,Woodbine Subway Green P SMART,East End-Danforth 
357,7395,Dentonia Park,Taylor-Massey 
358,7398,York St / Lakeshore St W - South,Waterfront Communities-The Island 
359,7399,Lower Jarvis / Queens Quay E,Waterfront Communities-The Island 
360,7400,Polson Pier,South Riverdale 
361,7403,Lascelles Blvd / Eglinton Ave W,Yonge-Eglinton 
362,7404,Roehampton Ave / Mount Pleasant Rd,Mount Pleasant West 
363,7406,Victoria St / Queen St E,Church-Yonge Corridor 
364,7407,University Ave / Queen St W,Bay Street Corridor 
365,7408,University Ave / Armoury St,Kensington-Chinatown 
366,7409,Isabella St / Church St,Church-Yonge Corridor 
367,7410,Howard St / Rose Ave,North St.James Town 
368,7411,Little Norway Park,Niagara 
369,7412,King St W / Crawford St,Niagara 
370,7413,Dundas St W / Watkinson Ave,Junction Area 
371,7414,Keele St / Annette St,Junction Area 
372,7415,Keele St / Vine Ave,Junction Area 
373,7416,Spadina Ave / Blue Jays Way,Waterfront Communities-The Island 
374,7417,King St W / Jordan St,Bay Street Corridor 
375,7418,College Park - Yonge St Entrance,Bay Street Corridor 
376,7419,Bloor St W / Huron St,University 
377,7420,Barton St / Howland St - SMART,Annex 
378,7422,Tyndall Ave / King St W - SMART,South Parkdale 
379,7423,Merton St / Al Green Ln,Mount Pleasant West 
380,7424,Merton St / Mount Pleasant Rd,Mount Pleasant West 
381,7425,The Queensway at South Kingsway,High Park-Swansea 
382,7426,Fleet St / Garrison Rd (Fort York),Niagara 
383,7427,Northern Dancer Blvd / Lake Shore Blvd E,South Riverdale 
384,7428,Woodbine Ave / Lake Shore Blvd E,South Riverdale 
385,7429,Woodbine Subway Station,Danforth East York 
386,7430,Marilyn Bell Park Tennis Court,South Parkdale 
387,7431,Gerrard St E / Leslie St,South Riverdale 
388,7432,Frederick St / King St E,Moss Park 
389,7433,Dundas St E / Boulton Ave - SMART,South Riverdale 
390,7434,Via Italia / Mackay Ave,Corso Italia-Davenport 
391,7435,Rushton Rd / St Clair Ave W,Wychwood 
392,7437,Concord Ave / Bloor St W,Dovercourt-Wallace Emerson-Junction 
393,7438,High Park Subway,High Park North 
394,7440,Martin Goodman Trail / Ontario Dr,Niagara 
395,7441,Pacific Ave / Glenlake Ave,High Park North 
396,7442,Lonsdale Rd / Spadina Rd,Forest Hill South 
397,7443,Dundas St E / George St,Moss Park 
398,7444,Clendenan Ave / Rowland St - SMART,High Park North 
399,7445,Eastwood Rd / Coxwell Ave,Woodbine Corridor 
400,7446,Orchard Park,Woodbine Corridor 
401,7447,Trent Ave / Danforth Ave,East End-Danforth 
